id,sentiment
"12311_10",0.8967015661366197
"8348_2",0.10998414059766534
"5828_4",0.6237122854673403
"7186_2",0.41800596107308624
"12128_7",0.8599699673964573
"2913_8",0.627684833076332
"4396_1",0.03132049959973335
"395_2",0.3710250508097869
"10616_1",0.00942942580495085
"9074_9",0.3808470216538821
"9252_3",0.25844338760540414
"9896_9",0.31377618006158553
"574_4",0.25112896354041936
"11182_8",0.49321735172389125
"11656_4",0.3848991642471859
"2322_4",0.5333765429633512
"8703_1",0.3622832220908338
"7483_1",0.18610970139659533
"6007_10",0.9102116785534358
"12424_4",0.1009385944743541
"4672_1",0.016143052229859737
"10841_3",0.06814855361116415
"8954_7",0.3567448005082069
"7392_1",0.16905273938275947
"10288_8",0.6958858141995922
"5343_4",0.027054983735532216
"4950_1",0.020769243656397637
"9257_4",0.4613821023332468
"8689_3",0.3494338612816513
"4480_2",0.13855333100750897
"9286_10",0.6112468192428315
"12245_10",0.9517625130213341
"7529_7",0.7081213947283505
"4_4",0.14022894130303526
"5299_2",0.07166889587481583
"12077_8",0.6503210528997081
"10701_2",0.06884699729137163
"11579_1",0.09902942421183636
"10993_1",0.09754541919629743
"8913_1",0.11646735973835895
"1350_3",0.09861195218034918
"3804_2",0.12104291955964633
"5025_3",0.46457711332613155
"5170_8",0.5098783663023823
"8225_8",0.7229280099957849
"6427_7",0.8184999630056394
"3165_3",0.49616446633976513
"7902_9",0.883844523102328
"8208_3",0.05022471156130237
"3577_8",0.6728292136469414
"4865_1",0.046991855625394895
"9063_3",0.3645014680276351
"1106_1",0.298784330081711
"1117_9",0.8627056156821254
"1050_4",0.40697526253292055
"10755_9",0.5243718677855299
"2729_8",0.6040506672074256
"10072_10",0.7847972607716122
"2904_7",0.7495056102761245
"4584_2",0.5674427973915922
"189_4",0.5738265170652996
"6302_4",0.3430945136925415
"8138_9",0.5850204677281402
"1262_1",0.2744026122473794
"2199_10",0.8039202196667419
"6551_7",0.5341965326695731
"8082_7",0.2524436976977874
"4897_8",0.8657392923551279
"7360_1",0.06825213098482291
"11012_10",0.8612932779101431
"12046_1",0.349611973457443
"2331_2",0.17123278216456322
"8961_9",0.7184676203382959
"751_7",0.3652839617212674
"9884_10",0.6397825433615425
"10016_8",0.6886011098355798
"8023_10",0.5092024316727322
"2628_1",0.12162797326352658
"5832_1",0.016817641708448756
"7302_1",0.05792942735994821
"4501_3",0.21884535182500034
"1121_7",0.468116019857745
"8334_3",0.36529844991520033
"9789_10",0.24307500693710699
"4230_10",0.5138846273378161
"824_4",0.1677285065223479
"6803_9",0.766100464401184
"3086_7",0.8163514064650816
"1135_8",0.7883561595755094
"10136_1",0.040138854326862816
"11129_3",0.061467789231206306
"2072_8",0.5702279863817566
"9501_7",0.8375982903280592
"319_10",0.6611863129040977
"1693_7",0.8987632962640213
"10886_1",0.027221030563139282
"9406_8",0.6488586713674992
"10376_10",0.16803919000673143
"9902_1",0.1595949170252166
"9938_8",0.29207941055172754
"7080_9",0.6920093511073881
"11944_8",0.3364491490967402
"5249_1",0.07459788742603915
"9599_2",0.19622024320070394
"9620_1",0.28244434611180835
"11244_1",0.0941891008514951
"6841_10",0.882274270369749
"10050_4",0.7022464793244861
"10512_9",0.7307662542448383
"11327_3",0.047550734438279285
"10681_8",0.737989845775913
"808_3",0.33336979048767973
"546_7",0.8888913323952643
"10765_1",0.01946059445393392
"7189_9",0.4530079745973088
"6005_9",0.7692780745896549
"11915_9",0.7725491408148742
"5740_10",0.6720248403989323
"7097_10",0.2987070934722667
"9573_10",0.5859934099738401
"5084_4",0.43396222711069976
"12332_7",0.40145577332787524
"8154_1",0.014019666369784968
"5610_1",0.2197102676249176
"5323_9",0.5581099414353683
"11034_8",0.4717293186070614
"3977_2",0.21864326335341855
"12380_7",0.2552485386834595
"1737_8",0.47078514117444525
"6030_9",0.34347581444184677
"5918_7",0.7741041317926296
"7061_9",0.5406424510596904
"266_8",0.5025790313173332
"1375_10",0.8371588802540484
"8648_3",0.08721916436466598
"10146_10",0.8341928380997156
"4578_10",0.8130742801771175
"4685_8",0.7768762080025704
"11843_9",0.6879630739094165
"5467_10",0.9156792003720299
"10140_10",0.6930752760683622
"7721_8",0.8897951715951646
"11208_10",0.20620082930062916
"1063_10",0.8303628940303778
"8260_10",0.26616276453966825
"3182_9",0.7564891621513306
"2797_8",0.6862123098019728
"7613_2",0.7135713994495791
"11624_4",0.17195892699268872
"4847_10",0.7918374129518142
"10684_7",0.5172670738338748
"6312_1",0.44855649886434745
"4925_3",0.09976322946977552
"4125_1",0.07853793279679097
"2394_10",0.9798380066972981
"12105_10",0.8403629956851599
"7812_1",0.029401658475148716
"1061_8",0.6733903028689937
"9343_3",0.614829138588241
"7696_10",0.9395242830415225
"9355_10",0.9884097091174625
"782_9",0.8453871560971445
"9882_10",0.8728288714516406
"10642_10",0.8294317087308638
"7410_2",0.1344295598927603
"9591_4",0.0879323992246569
